exchange,trading_symbol,exchange_token,name,instrument_type,segment,series,isin,expiry_date,strike_price,lot_size
NSE,RELIANCE-EQ,2885,Reliance Industries Limited,EQ,Equity,EQ,INE002A01018,,,1
NSE,TCS-EQ,11536,Tata Consultancy Services Limited,EQ,Equity,EQ,INE467B01029,,,1
NSE,INFY-EQ,4080,Infosys Limited,EQ,Equity,EQ,INE009A01021,,,1
NSE,HDFCBANK-EQ,1333,HDFC Bank Limited,EQ,Equity,EQ,INE040A01034,,,1
NSE,ICICIBANK-EQ,4963,ICICI Bank Limited,EQ,Equity,EQ,INE090A01021,,,1
NSE,NIFTY 50,99926000,NIFTY 50,INDEX,Index,,,,
NSE,NIFTY23DECFUT,99926000,NIFTY 50,FUT,F&O,,,2024-12-28,,50
NSE,NIFTY24JANFUT,99926000,NIFTY 50,FUT,F&O,,,2025-01-30,,50
NSE,NIFTY23DEC19500CE,99926001,NIFTY 50,OPT,F&O,,,2024-12-28,19500,50
NSE,NIFTY23DEC19500PE,99926002,NIFTY 50,OPT,F&O,,,2024-12-28,19500,50
NSE,NIFTY24JAN20000CE,99926003,NIFTY 50,OPT,F&O,,,2025-01-30,20000,50
NSE,NIFTY24JAN20000PE,99926004,NIFTY 50,OPT,F&O,,,2025-01-30,20000,50
BSE,RELIANCE-EQ,500325,Reliance Industries Limited,EQ,Equity,EQ,INE002A01018,,,1
BSE,TCS-EQ,532540,Tata Consultancy Services Limited,EQ,Equity,EQ,INE467B01029,,,1
BSE,INFY-EQ,500209,Infosys Limited,EQ,Equity,EQ,INE009A01021,,,1
